primary_name,movie_count,avg_budget,avg_income,total_income,avg_roi
Richard Linklater,3,4444444.444444444,21189852.111111112,190708669.0,4.784313212962963
Ken Kwapis,2,24000000.0,31194019.0,187164114.0,1.6358183749999997
Richard LaGravenese,2,30800000.0,36251844.8,181259224.0,-0.23554588800000004
Dmitriy Dyachenko,2,6017241.379310345,6170801.655172414,178953248.0,-0.21770257938410473
James McTeigue,3,18000000.0,21354995.75,170839966.0,1.4789809448717948
Drew Goddard,2,30666666.666666668,56861438.333333336,170584315.0,0.8751004590277778
Zach Braff,2,15000000.0,42631972.0,170527888.0,1.1882924791666667
Ariel Vromen,2,20750000.0,21197435.5,169579484.0,-0.2034026928571429
Alexandre Aja,2,18750000.0,20915040.0,167320320.0,-0.12854
Salim Akil,2,8800000.0,30059634.2,150298171.0,2.660110865714286
Leslie Small,3,5593750.0,18728591.875,149828735.0,5.6521329
Daniel Stamm,2,3266666.6666666665,23420334.666666668,140522008.0,12.001610518518518
Jeremy Herrin,2,12800000.0,13640780.0,136407800.0,0.6967592100000001
Anne Fletcher,2,36666666.666666664,44212566.0,132637698.0,0.21405584523809526
Aj Cross,3,8714285.714285715,18574204.57142857,130019432.0,0.6048506904761906
Shana Feste,2,18750000.0,31189126.5,124756506.0,0.6452979375000001
Alex Garland,2,41000000.0,41500074.0,124500222.0,0.5056202097902098
David Koepp,2,47500000.0,30894667.5,123578670.0,-0.29822458333333335
Corey Harrell,2,3966969.285714286,17578414.57142857,123048902.0,3.4121322173370956
Catherine Hardwicke,3,15200000.0,24492153.2,122460766.0,-0.1480019104761905
Kevin Smith,4,17200000.0,23142785.6,115713928.0,-0.16963348720720722
James Franco,2,11666666.666666666,19216505.333333332,115299032.0,0.9192707333333333
Jeff Nichols,4,9964285.714285715,16351482.285714285,114460376.0,0.7263096046783627
Wes Craven,2,32500000.0,56358530.0,112717060.0,0.534419275
Johannes Roberts,2,5000000.0,18590088.333333332,111540530.0,2.7180176666666664
Taylor Hackford,3,19545454.545454547,10045688.454545455,110502573.0,-0.6668729958441559
Nadeem Soumah,2,29769230.769230768,8467839.23076923,110081910.0,-0.631340021978022
Ciarán Foy,2,10750000.0,13526056.25,108208450.0,0.35260562500000003
Daniel Barnz,2,18333333.333333332,16506412.0,99038472.0,-0.05275183488132099
Mark Jenkin,2,26267500.0,11611554.75,92892438.0,-0.5602006642857142
Deon Taylor,2,4450000.0,22551471.5,90205886.0,6.304295826388889
Jonathan Teplitzky,2,14800000.0,17379004.4,86895022.0,0.10029484
Mike Leigh,2,9500000.0,21300966.25,85203865.0,1.3252945401785714
Rick Famuyiwa,2,12250000.0,20605617.25,82422469.0,0.7966660714285714
James Gray,3,25560000.0,7975371.2,79753712.0,-0.6014166008333334
Kenneth Lonergan,2,11250000.0,39178579.5,78357159.0,3.594840840336135
Rodrigo Cortés,2,5915737.5,19582438.5,78329754.0,7.230987781632087
Greg McLean,2,4142857.1428571427,11026100.0,77182700.0,1.6722897
Noah Baumbach,2,7200000.0,15007404.4,75037022.0,1.5519322133333333
Justin Chadwick,2,30000000.0,18341585.0,73366340.0,-0.43713889714285714
Todd Strauss-Schulson,2,9666666.666666666,12088581.666666666,72531490.0,-0.3955709166666666
Muyiwa Aluko,2,6346153.846153846,5501790.076923077,71523271.0,-0.926642798974359
Marco Berger,2,6150000.0,13824888.8,69124444.0,-0.07834074666666666
Adam Wingard,2,5500000.0,32936377.0,65872754.0,14.392867350000001
David E. Talbert,2,12750000.0,32689671.0,65379342.0,1.5960346470588234
Charles Uwagbai,2,15000000.0,12910850.4,64554252.0,0.7423067555555557
Dan Gilroy,3,17166666.666666668,21100476.666666668,63301430.0,1.170368623885918
Michael Winterbottom,3,22800000.0,6311436.6,63114366.0,-0.7208303366153845
Jacques Audiard,2,23500000.0,10423706.5,62542239.0,-0.3990452192982456
Jon Cassar,2,17000000.0,3846056.125,61536898.0,-0.6153943874999999
Jorma Taccone,2,15000000.0,9083507.5,54501045.0,-0.33007725000000004
Jason Reitman,2,16000000.0,17043325.333333332,51129976.0,0.15750285185185187
Andrew Hyatt,2,3416666.6666666665,17019665.333333332,51058996.0,2.4039330666666667
Jay Duplass,2,8000000.0,8277973.0,49667838.0,0.11530861428571426
Mark Duplass,2,8000000.0,8277973.0,49667838.0,0.11530861428571426
Rob Reiner,3,15250000.0,5770894.0,46167152.0,-0.6300645304563491
Rowan Joffe,2,16500000.0,9896616.0,39586464.0,-0.5449344318181818
Joe Cornish,2,36000000.0,17403814.5,34807629.0,-0.5113288168187744
